UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,T_diff[K],Power_load,Tool_wear_norm,Type_H,Type_L,Type_M
1,M14860,-0.9523894433829583,-0.9473598877173399,0.14017979366855685,0.2840905706019339,-1.6959837443286894,0,0,0,0,0,0,0.49884932260947434,0.635262252363683,-1.6959837443286896,False,False,True
2,L47181,-0.9023934097553371,-0.8799590021118113,-0.8208994581403156,0.6371221583139501,-1.6488517007812828,0,0,0,0,0,0,0.49884932260947434,0.5171742490489215,-1.6488517007812833,False,True,False
3,L47182,-0.9523894433829583,-1.014760773322907,-0.216024404554312,0.949807278858879,-1.6174303384163453,0,0,0,0,0,0,0.398953589463793,1.3897419944411613,-1.6174303384163455,False,True,False
4,L47183,-0.9023934097553371,-0.9473598877173399,-0.6528786099219813,-0.04876778352653825,-1.5860089760514078,0,0,0,0,0,0,0.3989535894638498,-0.33321980970949067,-1.586008976051408,False,True,False
5,L47184,-0.9023934097553371,-0.8799590021118113,-0.8208994581403156,0.001665300432321206,-1.55458761368647,0,0,0,0,0,0,0.49884932260947434,-0.36129591583137516,-1.5545876136864702,False,True,False
6,M14865,-0.9523894433829583,-0.9473598877173399,-0.7066452813518483,0.193311019475987,-1.5231662513215325,0,0,0,0,0,0,0.49884932260947434,-0.02581863368716443,-1.5231662513215327,False,False,True
7,L47186,-0.9523894433829583,-0.9473598877173399,0.18722563116969046,0.24374410343484648,-1.4760342077741262,0,0,0,0,0,0,0.49884932260947434,0.6032148874922842,-1.4760342077741264,False,True,False
8,L47187,-0.9523894433829583,-0.9473598877173399,-0.02112022062104414,0.021838534015865278,-1.4446128454091884,0,0,0,0,0,0,0.49884932260947434,0.14035032032310027,-1.4446128454091887,False,True,False
9,M14868,-0.8523973761276875,-0.8799590021118113,0.9197965294016283,-1.1482090138296743,-1.413191483044251,0,0,0,0,0,0,0.398953589463793,-1.2173250025909699,-1.4131914830442514,False,False,True
10,M14869,-0.7524053088724167,-0.6777563452951486,1.4171382401278978,-1.2087287145803058,-1.3660594394968446,0,0,0,0,0,0,0.49884932260947434,-1.111180485689962,-1.3660594394968446,False,False,True
11,H29424,-0.8024013425000663,-0.7451572309007156,1.6926924312059661,-1.6222800030429536,-1.318927395949438,0,0,0,0,0,0,0.49884932260947434,-1.72105095031003,-1.3189273959494383,True,False,False
12,H29425,-0.7024092752447672,-0.6103554596895817,-0.720086949209315,0.43538982247851227,-1.240373990037094,0,0,0,0,0,0,0.49884932260947434,0.3041028475630855,-1.2403739900370945,True,False,False
13,M14872,-0.7024092752447672,-0.6103554596895817,-1.2846369992229185,1.1212797643190013,-1.1618205841247502,0,0,0,0,0,0,0.49884932260947434,0.8373012791688229,-1.1618205841247504,False,False,True
14,M14873,-0.7024092752447672,-0.542954574084053,1.4238590740566313,-1.006996378744868,-1.1146885405773437,0,0,0,0,0,0,0.5987450557550988,-0.7633734849842889,-1.1146885405773441,False,False,True
15,L47194,-0.7024092752447672,-0.542954574084053,2.455507082117204,-2.0560045250891448,-1.0675564970299374,0,0,0,0,0,0,0.5987450557550988,-1.9888187659444256,-1.0675564970299374,False,True,False
16,L47195,-0.7024092752447672,-0.542954574084053,0.07969228830995648,0.84894111094116,-1.0361351346649996,0,0,0,0,0,0,0.5987450557550988,1.4522917955931276,-1.036135134665,False,True,False
